SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,marginalised,384.508248165277,0.011127435622878368,4.591311931610107
EDTRPAS1-41,marginalised,395.8077346865451,0.011118863697253109,4.593216896057129
EDTRPAS1-41,marginalised,407.43927753236164,0.011111259551909822,4.594908237457275
EDTRPAS1-41,marginalised,419.4126347923942,0.01110480895516477,4.596344470977783
EDTRPAS1-41,marginalised,431.73785131583566,0.011099576664666294,4.597509860992432
EDTRPAS1-41,marginalised,444.4252671383633,0.011095520729408677,4.598413944244385
EDTRPAS1-41,marginalised,457.4855261567403,0.011092522657522627,4.599082946777344
EDTRPAS1-41,marginalised,470.929585058336,0.011090424288064483,4.599550724029541
EDTRPAS1-41,marginalised,484.76872251305645,0.011089045620286599,4.59985876083374
EDTRPAS1-41,marginalised,499.01454863539783,0.01108822171983814,4.600042343139648
EDTRPAS1-41,marginalised,513.6790147245588,0.011044073855895103,4.609921455383301
EDTRPAS1-41,marginalised,528.7744232907841,0.011031524171264214,4.6127400398254395
EDTRPAS1-41,marginalised,544.313438376352,0.011017018930736889,4.616003036499023
EDTRPAS1-41,marginalised,560.3090961798615,0.011000564989864025,4.619711399078369
EDTRPAS1-41,marginalised,576.774815992735,0.010982279280350959,4.623841285705566
EDTRPAS1-41,marginalised,593.7244114571095,0.010962357351868563,4.628352165222168
EDTRPAS1-41,marginalised,611.1721021545629,0.010941020320139239,4.633195400238037
EDTRPAS1-41,marginalised,629.1325255353954,0.010918484265264006,4.6383256912231445
EDTRPAS1-41,marginalised,647.620749198475,0.010894935955446704,4.643701553344727
EDTRPAS1-41,marginalised,666.6522835319498,0.010870501532064782,4.649296760559082
EDTRPAS1-41,marginalised,686.2430947254303,0.010845266473742213,4.655093669891357
EDTRPAS1-41,marginalised,706.4096181645588,0.01081929425555142,4.6610798835754395
EDTRPAS1-41,marginalised,727.1687722192036,0.010792657191228048,4.667239665985107
EDTRPAS1-41,marginalised,748.5379724368439,0.01076546015686797,4.673551082611084
EDTRPAS1-41,marginalised,770.5351461530547,0.010737846222050313,4.679981708526611
EDTRPAS1-41,marginalised,793.1787475313464,0.01070998610772776,4.686492919921875
EDTRPAS1-41,marginalised,816.4877730449793,0.010682041753733195,4.693048000335693
EDTRPAS1-41,marginalised,840.4817774137395,0.010654136130638425,4.6996169090271
EDTRPAS1-41,marginalised,865.1808900090454,0.01062630370827903,4.706192970275879
EDTRPAS1-41,marginalised,890.6058317411504,0.010598485772469059,4.712790012359619
EDTRPAS1-41,marginalised,916.7779324426059,0.010570536579217684,4.719441890716553
EDTRPAS1-41,marginalised,943.7191487625702,0.010542235033325085,4.726202964782715
EDTRPAS1-41,marginalised,971.4520825869745,0.010513333096752772,4.733133316040039
EDTRPAS1-41,marginalised,999.9999999999998,0.010483602394733848,4.74029016494751
EDTRPAS1-35,marginalised,49.99999999999999,3.40069748e-315,1339.636962890625
EDTRPAS1-35,marginalised,51.46934254013858,3.18858874e-315,1346.40380859375
EDTRPAS1-35,marginalised,52.98186443028238,3.113098143e-315,1348.9844970703125
EDTRPAS1-35,marginalised,54.53883457554776,3.172206893e-315,1346.867431640625
EDTRPAS1-35,marginalised,56.14155917017645,3.38073776e-315,1340.054443359375
EDTRPAS1-35,marginalised,57.791382793345406,3.776297316e-315,1329.07275390625
EDTRPAS1-35,marginalised,59.48968953717931,4.43331327e-315,1314.88330078125
EDTRPAS1-35,marginalised,61.23790416791161,5.494839034e-315,1298.7166748046875
EDTRPAS1-35,marginalised,63.037493321168455,7.251154585e-315,1281.8677978515625
EDTRPAS1-35,marginalised,64.88996673237834,1.036382075e-314,1265.508544921875
EDTRPAS1-35,marginalised,66.79687850333957,1.666919807e-314,1250.5574951171875
EDTRPAS1-35,marginalised,68.75982840600807,3.337194531e-314,1237.6043701171875
EDTRPAS1-35,marginalised,70.78046322459961,1.1894806917e-313,1226.921630859375
EDTRPAS1-35,marginalised,72.86047813713198,5.001567587982285e-14,189.8072967529297
EDTRPAS1-35,marginalised,75.00161813756648,0.000339820293008101,22.55870819091797
EDTRPAS1-35,marginalised,77.2056794997416,0.016301777419454308,4.604641914367676
EDTRPAS1-35,marginalised,79.47451128432712,0.03235843978840585,2.835599899291992
EDTRPAS1-35,marginalised,81.81001689006284,0.020403318790037994,3.5348143577575684
EDTRPAS1-35,marginalised,84.21415565058334,0.012918191702180662,4.48486328125
EDTRPAS1-35,marginalised,86.68894447816842,0.009619954311954108,5.101592540740967
EDTRPAS1-35,marginalised,89.23645955579812,0.00804483804792015,5.51331901550293
EDTRPAS1-35,marginalised,91.85883807893192,0.007281096909289045,5.796072006225586
EDTRPAS1-35,marginalised,94.55828004847345,0.006889134131334469,5.890283584594727
EDTRPAS1-35,marginalised,97.33705011642465,0.006688494785581554,6.015835762023926
EDTRPAS1-35,marginalised,100.19747948577792,0.006589446452057674,6.122110843658447
EDTRPAS1-35,marginalised,103.14196786624025,0.006543325127957513,6.151163101196289
EDTRPAS1-35,marginalised,106.17298548742973,0.006523900043929986,6.107994079589844
EDTRPAS1-35,marginalised,109.29307517123365,0.00651738303016188,6.075315952301025
EDTRPAS1-35,marginalised,112.50485446506681,0.006516768948101179,6.050133228302002
EDTRPAS1-35,marginalised,115.81101783781926,0.006518689868360887,6.030663013458252
EDTRPAS1-35,marginalised,119.21433894033639,0.006521552459878233,6.015635013580322
EDTRPAS1-35,marginalised,122.7176729323271,0.00652469844808809,6.004050254821777
EDTRPAS1-35,marginalised,126.32395887765273,0.006527806153811723,5.995128631591797
EDTRPAS1-35,marginalised,130.03622221000577,0.006530743120027912,5.988245010375977
EDTRPAS1-35,marginalised,133.8575772710473,0.006533454456093677,5.982928276062012
EDTRPAS1-35,marginalised,137.79122992313202,0.006535913138592485,5.9788103103637695
EDTRPAS1-35,marginalised,141.8404802388135,0.006538092653565703,5.97561502456665
EDTRPAS1-35,marginalised,146.008725269385,0.0065399936779508856,5.973129749298096
EDTRPAS1-35,marginalised,150.29946189477928,0.0065416345698956005,5.971194267272949
