SampleID,Network,AgeCat,LPM,n_active,n_free,tau1,f1,tau2,mean_age_mixture,mean_age_sigma_delta,mean_age_p16,mean_age_p50,mean_age_p84,mean_age_sigma_mc,mean_age_fixed_contributors,mean_age_sigma_alt,mean_age_sigma,mean_age_sigma_source,F_lt10yr,F_lt10yr_delta_sigma,F_lt10yr_p16,F_lt10yr_p50,F_lt10yr_p84,F_lt10yr_width,F_lt10yr_source,F_lt10yr_n,F_lt25yr,F_lt25yr_delta_sigma,F_lt25yr_p16,F_lt25yr_p50,F_lt25yr_p84,F_lt25yr_width,F_lt25yr_source,F_lt25yr_n,F_lt40yr,F_lt40yr_delta_sigma,F_lt40yr_p16,F_lt40yr_p50,F_lt40yr_p84,F_lt40yr_width,F_lt40yr_source,F_lt40yr_n,mc_draws_used,Aq_class,Well_class,LPM_MeanAgeFinal_yrs
SCTXLUSRC1-11,SCTXLUSRC1,Modern,DM,4,2,17.4647,,,17.4647,2.784217434816577,17.115644912719727,17.462709426879883,17.854180755615236,0.4797657277259072,,,2.784217434816577,delta,8.4771092509696e-37,,3.990552169825127e-39,2.2397959518731943e-36,7.982069694670696e-34,7.982029789148998e-34,mc,500,0.9999999999999998,,0.9999999999999694,0.9999999999999996,1.0,3.064215547965432e-14,mc,500,1.0,,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,mc,500,True,unconfined,MW (urban),22
SCTXLUSRC1-08,SCTXLUSRC1,Modern,DM,3,2,15.005,,,15.005,,13.804112472534179,15.156321048736572,17.20545478820801,1.8021034073643563,,,,delta,5.813813868396539e-12,,1.0874117028307533e-22,5.235993570088194e-14,0.0003582146639423748,0.0003582146639423748,mc,500,1.0,,0.9999999528136284,0.9999999999999999,1.0,4.718637158784844e-08,mc,500,1.0,8.298812953239267e-18,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,mc,500,True,unconfined,MW (urban),9.3
SCTXLUSRC1-10,SCTXLUSRC1,Modern,DM,4,2,10.5141,,,10.5141,1.679552755471312,10.350523643493652,10.518470287322998,10.738815231323242,0.8005126805159324,,,1.679552755471312,delta,0.13577000342789913,0.20817313017096528,0.06226377917595754,0.13898148564275126,0.2328499447749229,0.17058616559896536,mc,500,1.0,5.3766700207467736e-17,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,mc,500,1.0,5.3766700207467736e-17,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,mc,500,True,unconfined,MW (urban),5.5
SCTXLUSRC1-09,SCTXLUSRC1,Modern,DM,4,2,5.2445,,,5.2445,2.800331688168867,4.627210330963135,5.285293340682983,5.946857013702393,0.6937540009748511,,,2.800331688168867,delta,0.9233070158255186,0.46581375957273785,0.8968269399272797,0.9227666516215883,0.9425236482389036,0.04569670831162387,mc,500,0.9994547942950436,0.01846648409589137,0.9993421228627721,0.9994758036665324,0.999567706545098,0.00022558368232583614,mc,500,0.9999947823091576,0.0003299631154994823,0.999993982423459,0.9999947333470398,0.9999962271596552,2.2447361961441814e-06,mc,500,True,unconfined,MW (urban),4.5
SCTXLUSRC1-16,SCTXLUSRC1,Modern,DM,4,2,22.8709,,,22.8709,0.4551809298987116,21.579771881103515,22.739545822143555,24.12239013671875,1.310367099863131,,,0.4551809298987116,delta,4.6402339907939566e-10,1.0959017117311886e-08,1.5596107791183048e-38,5.437248239736747e-10,2.4904689368159393e-05,2.4904689368159393e-05,mc,500,0.7638745148345408,0.1066580962716893,0.6335815970963623,0.7561266654270127,0.9260867606545988,0.2925051635582365,mc,500,0.9999858926068476,0.00014827890801856594,0.9979184394257984,0.9999959589683923,0.9999999999999999,0.002081560574201502,mc,500,True,unconfined,MW (urban),17
SCTXLUSRC1-01/EDTRETN1-02,SCTXLUSRC1,Modern,DM,4,2,10.279,,,10.279,,10.163869361877442,10.2887864112854,10.410248832702637,0.12812573602360353,,,,delta,0.2764555822308088,,0.19326592260108685,0.272746343346845,0.36916643166838686,0.1759005090673,mc,500,1.0,1.625214924878497e-17,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,mc,500,1.0,1.625214924878497e-17,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,mc,500,True,unconfined,MW (urban),10
SCTXLUSRC1-24,SCTXLUSRC1,Modern,DM,4,2,26.6973,,,26.6973,1.4220306519923442,25.4781192779541,26.761512756347656,28.231780548095703,1.3447204228333625,,,1.4220306519923442,delta,0.0021979061342402174,0.0043778919780125105,0.0001247235259303402,0.0018406646813879687,0.008314414359539337,0.008189690833608997,mc,500,0.4901277164386491,0.08202637268429132,0.3884550501457108,0.4845233111027307,0.5536921315182532,0.16523708137254245,mc,500,0.914364850409199,0.012134624501584828,0.9032410863732401,0.914059658580946,0.9267541654791596,0.023513079105919488,mc,500,True,unconfined,MW (urban),20
SCTXLUSRC1-25,SCTXLUSRC1,Modern,DM,4,2,3.0089,,,3.0089,2.376248346345733,2.6410382080078123,3.049429774284363,3.4811909770965577,0.4571948363031592,,,2.376248346345733,delta,1.0,,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,mc,500,1.0,,1.0,1.0,1.0,0.0,mc,500,1.0,,1.0,1.0,1.0,0.0,mc,500,True,unconfined,MW (urban),17
SCTXLUSRC1-27,SCTXLUSRC1,Modern,DM,4,2,19.303,,,19.303,0.10353155797792257,17.961207122802733,19.198205947875977,20.3672989654541,1.2037979404118826,,,0.10353155797792257,delta,1.135668914252938e-10,2.1331424521628907e-09,1.289902118112271e-40,1.7585999854994383e-10,0.0008856481531390091,0.0008856481531390091,mc,500,0.994328584645341,0.01731898314033668,0.8970446909269255,0.9933656488748202,0.9999999596412418,0.10295526871431626,mc,500,0.9999999999996106,8.919571227923538e-12,0.9998568849563103,0.9999999999995819,1.0,0.00014311504368968997,mc,500,True,unconfined,MW (urban),16
SCTXLUSRC1-23,SCTXLUSCR1,Modern,DM,4,2,16.2306,,,16.2306,0.9657293904549055,15.31568733215332,16.338765144348145,17.314696044921874,1.0702830974186213,,,0.9657293904549055,delta,4.558801345609739e-28,1.7144863090695317e-25,1.1115897941113687e-32,2.6396476304041864e-25,2.066952157793988e-15,2.066952157793988e-15,mc,500,0.9999999999999998,1.3430651047460696e-17,0.9999999999997543,1.0,1.0,2.4569235534954714e-13,mc,500,0.9999999999999998,1.3408672173423938e-17,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,mc,500,True,unconfined,MW (urban),15
