SampleID,omitted_tracer,Aq_class,LPM,n_active_full,tau1_full,tau1_reduced,delta_tau1_rel,w_full_cond,w_reduced_cond,information_ratio_cond,censored_cond,w_full_true,w_reduced_true,information_ratio_true,censored_true
SCTXLUSRC1-01/EDTRETN1-02,3He(trit),unconfined,DM,4,10.279025077819824,15.471463203430176,0.5051488916798775,1.0802547359373416,2.491567314462736,2.306462755102659,True,1.1999615791719402,2.8462056120159107,2.3719139524283746,True
SCTXLUSRC1-01/EDTRETN1-02,SF6,unconfined,DM,4,10.279025077819824,5.493048667907715,0.4656060641625764,1.0802547359373416,2.165316276578231,2.004449695561276,True,1.1999615791719402,2.258153393957762,1.8818547469795244,True
SCTXLUSRC1-01/EDTRETN1-02,14C,unconfined,DM,4,10.279025077819824,10.277751922607422,0.0001238595297475,1.0802547359373416,1.079739461932331,0.999523006946539,False,1.1999615791719402,1.2008120774757112,1.0007087712794587,False
EDTRPAS1-42,3H,confined,DM,4,30.69511985778809,30.550235748291016,0.0047201024191573,0.427449280582368,0.4423788243439053,1.0349270531961057,False,0.486825644318014,0.5302524698432537,1.0892040631632618,False
EDTRPAS1-42,3He(trit),confined,DM,4,30.69511985778809,29.490291595458984,0.0392514597731211,0.427449280582368,0.6095856030471628,1.4261004304806586,False,0.486825644318014,2.282799216336571,4.689151532956952,True
EDTRPAS1-42,SF6,confined,DM,4,30.69511985778809,32.28662109375,0.0518486731224837,0.427449280582368,0.7749658898450436,1.813000805122914,False,0.486825644318014,1.1689183149952433,2.4011025890650473,False
EDTRPAS1-42,14C,confined,DM,4,30.69511985778809,30.6851749420166,0.0003239901266898,0.427449280582368,0.428026312915608,1.0013499433955155,False,0.486825644318014,0.4878969675861296,1.0022006303090636,False
SCTXLUSRC1-24,3H,unconfined,DM,4,26.697338104248047,26.898361206054688,0.0075297058089343,0.5817118967417619,0.5816545775160199,0.9999014645805544,False,4.521496944315741,2.417642174218782,0.5346995041671215,True
SCTXLUSRC1-24,3He(trit),unconfined,DM,4,26.697338104248047,88.2238540649414,2.3045936535112217,0.5817118967417619,2.0169605869941507,3.4672844036564987,True,4.521496944315741,2.1177272214230243,0.468368606128409,True
SCTXLUSRC1-24,SF6,unconfined,DM,4,26.697338104248047,22.12164688110352,0.1713912902206701,0.5817118967417619,1.0848404318559908,1.8649101693335,False,4.521496944315741,2.8249708691844715,0.624786636809723,True
SCTXLUSRC1-24,14C,unconfined,DM,4,26.697338104248047,26.87692070007324,0.006726610537873,0.5817118967417619,0.5787246720865364,0.9948647695328954,False,4.521496944315741,4.448689512722201,0.9838974940179775,True
SCTXLUSRC1-09,3H,unconfined,DM,4,5.244500160217285,5.411914348602295,0.0319218578073365,1.5828920343425117,1.5933214207179849,1.006588817271928,True,1.8724042004439965,1.8266151142772293,0.9755452983090354,True
SCTXLUSRC1-09,3He(trit),unconfined,DM,4,5.244500160217285,23.728790283203125,3.524509401906476,1.5828920343425117,7.456654277234338,4.710778824742535,True,1.8724042004439965,2.9,1.548810881385725,True
SCTXLUSRC1-09,SF6,unconfined,DM,4,5.244500160217285,2.8304829597473145,0.4602949998517981,1.5828920343425117,1.3682026289603708,0.8643688888918335,True,1.8724042004439965,3.0234914258788366,1.6147642828198563,True
SCTXLUSRC1-09,14C,unconfined,DM,4,5.244500160217285,5.234324455261231,0.0019402621117725,1.5828920343425117,1.5868698264472174,1.0025129901587748,True,1.8724042004439965,1.8764781752601245,1.002175798801969,True
SCTXLUSRC1-10,3H,unconfined,DM,4,10.514081954956056,10.504931449890137,0.0008703094673524,1.0217123481910668,1.0764837766997504,1.0536074841472318,False,1.058441190002485,1.1172851624898605,1.0555949381441188,False
SCTXLUSRC1-10,3He(trit),unconfined,DM,4,10.514081954956056,26.72929573059082,1.5422377193846537,1.0217123481910668,1.104024379700421,1.0805628234356637,False,1.058441190002485,2.526957850786857,2.387433401737629,True
SCTXLUSRC1-10,SF6,unconfined,DM,4,10.514081954956056,6.259432792663574,0.4046619743426057,1.0217123481910668,1.613179541146383,1.578897958904484,True,1.058441190002485,1.9078329133801175,1.8024930732104618,True
SCTXLUSRC1-10,14C,unconfined,DM,4,10.514081954956056,10.513392448425291,6.55793376650164e-05,1.0217123481910668,1.021307643456385,0.999603895621504,False,1.058441190002485,1.0592006406281154,1.0007175180187655,False
EDTRPAS1-32,3H,confined,DM,4,32.06096649169922,32.190208435058594,0.0040311306083937,0.3780646646860986,0.3423755135852844,0.905600405342175,False,0.4146202551200985,0.4441658559255301,1.0712594245953408,False
EDTRPAS1-32,3He(trit),confined,DM,4,32.06096649169922,31.16259956359864,0.0280205816107626,0.3780646646860986,0.4938799108378596,1.3063371348071386,False,0.4146202551200985,0.5342079780530186,1.2884271124146611,False
EDTRPAS1-32,SF6,confined,DM,4,32.06096649169922,32.61874008178711,0.0173972793437871,0.3780646646860986,0.7820157442707559,2.0684708657447577,False,0.4146202551200985,2.6497185148531566,6.390711698553274,True
EDTRPAS1-32,14C,confined,DM,4,32.06096649169922,32.10453796386719,0.0013590192977884,0.3780646646860986,0.3780551762785755,0.9999749026862086,False,0.4146202551200985,0.41503888661973093,1.0010096745020602,False
EDTRPAS1-28,3H,confined,DM,4,30.569580078125,30.69510269165039,0.0041061281576194,0.402896526781842,0.4060996363870796,1.007950204065601,False,0.36553029264323345,0.3734126556664705,1.021564185463913,False
EDTRPAS1-28,3He(trit),confined,DM,4,30.569580078125,31.46331787109375,0.0292361815466445,0.402896526781842,0.5026961343362928,1.247705306252217,False,0.36553029264323345,2.2410732342163104,6.1310191776736085,True
EDTRPAS1-28,SF6,confined,DM,4,30.569580078125,29.18577766418457,0.0452673020173624,0.402896526781842,0.8614932844880971,2.138249469086571,False,0.36553029264323345,0.898402081755921,2.4578047287390854,False
EDTRPAS1-28,14C,confined,DM,4,30.569580078125,30.63809394836425,0.0022412434212102,0.402896526781842,0.4017279418651012,0.9970995408521512,False,0.36553029264323345,0.3644566441886128,0.9970627647660695,False
EDTRPAS1-49,3H,unconfined,DM,4,21.541561126708984,14.798815727233888,0.3130109911632584,0.7272790500428524,1.0676429013721638,1.4679962269080302,False,1.1579644584096962,2.0733116454910476,1.7904795181178998,True
