decimal_year,H3_31to29_100to95,H3_31to29_105to100,H3_33to31_100to95,H3_33to31_105to100,H3_35to33_100to95,SF6_NH_pptv,C14_NHZone2_pmC
-42470,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.14407301252746
-42490,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.05185726049848
-42510,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.95971338559747
-42530,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.86764542571916
-42550,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.77565744552524
-42570,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.68375353656896
-42590,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.60834389345854
-42610,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.5164409725654
-42630,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.4411192470034
-42650,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.34945154080845
-42670,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.2742326356242
-42690,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.21558555872883
-42710,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.14056395403674
-42730,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.06551554617423
-42750,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,132.00672400136597
-42770,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.94821412049123
-42790,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.88976675774268
-42810,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.8147613685804
-42830,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.75618368634886
-42850,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.69790321955338
-42870,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.62295374717002
-42890,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.5482294309657
-42910,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.4735077168274
-42930,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.39879180972497
-42950,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.32408493680992
-42970,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.2493903475214
-42990,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.15863983610055
-43010,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,131.0678303148789
-43030,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.97696481789168
-43050,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.88627766597273
-43070,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.7955417922361
-43090,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.70499268723222
-43110,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.61463516561903
-43130,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.524007044624
-43150,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.43357796515164
-43170,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.34335282528735
-43190,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.25310133896846
-43210,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.16282675674802
-43230,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,130.05646015428067
-43250,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,129.9663472200682
-43270,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,129.87645963465866
-43290,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,129.7865643927274
-43310,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,129.68043637747232
-43330,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,129.59073588947348
-43350,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,129.48473179424883
-43370,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,129.37889613723542
-43390,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,129.2893791785189
-43410,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,129.18369277461002
-43430,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,129.07818862303284
-43450,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,128.9728717460957
-43470,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,128.88356289343622
-43490,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,128.77818625464732
-43510,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,128.65687297088874
-43530,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,128.56779381538962
